Channel Name,Channel ID,Video Title,Video ID,Video URL,Views,Publish Time
Blender Smoothie 3d,Blender Smoothie 3d,How You can generate 3d model from AI under 10 minutes using free tools,LRDNMrdmHII,https://www.youtube.com/watch?v=LRDNMrdmHII,"152,627 views",1 year ago
Benji 3D,Benji 3D,Will This Ai REPLACE Blender Artists?,SQmreDAjkN8,https://www.youtube.com/watch?v=SQmreDAjkN8,"33,863 views",4 months ago
Benji 3D,Benji 3D,Will This Ai REPLACE Blender Artists?,SQmreDAjkN8,https://www.youtube.com/watch?v=SQmreDAjkN8,"33,863 views",4 months ago
Benji 3D,Benji 3D,The FASTEST Way to Texture 3D Models in BLENDER! (Tutorial),zfPdPY5VcHE,https://www.youtube.com/watch?v=zfPdPY5VcHE,"收看次數：37,303 次",1 年前
Benji 3D,Benji 3D,How to make your own textures for BLENDER (epic tutorial!),F7Pt-SOnJ5U,https://www.youtube.com/watch?v=F7Pt-SOnJ5U,"收看次數：93,066 次",2 年前
Black Mixture,Black Mixture,Text to 3D is HERE! Create Realistic 3D Models with AI,fpyPl51UNnU,https://www.youtube.com/watch?v=fpyPl51UNnU,"7,635 views",2 months ago
Spline,Spline,Introducing Spline AI - Design in 3D using AI,SzGEfYh9ITQ,https://www.youtube.com/watch?v=SzGEfYh9ITQ,"381,128 views",1 year ago
Spline,Spline,Introducing Spline AI - Design in 3D using AI,SzGEfYh9ITQ,https://www.youtube.com/watch?v=SzGEfYh9ITQ,"381,129 views",1 year ago
Filmic Footprints,Filmic Footprints,Create 3D Animated ILLUSTRATIONS with AI | DaVinci Resolve 18,SdPKbYWz5VI,https://www.youtube.com/watch?v=SdPKbYWz5VI,"56,246 views",4 months ago
Matt Wolfe,Matt Wolfe,CRAZY AI Computer Graphic Technology!,2O_vecl28OA,https://www.youtube.com/watch?v=2O_vecl28OA,"61,308 views",1 year ago
Matt Wolfe,Matt Wolfe,Crazy AI Tech Allows ANYONE To Build 3D Games,qEY488zCmTw,https://www.youtube.com/watch?v=qEY488zCmTw,"415,069 views",1 year ago
